target_side,target_time,cue_side,n,trialKey.keys_raw,trialKey.rt_mean,trialKey.rt_raw,trialKey.rt_std,order
left,50,left,1.0,'space',1.03219532967,1.0321953296661377,0.0,9.0
right,50,left,1.0,'space',0.942783117294,0.9427831172943115,0.0,13.0
central,50,left,1.0,'space',0.911632597446,0.9116325974464417,0.0,11.0
none,50,left,1.0,,,,,8.0
left,50,right,1.0,'space',0.933685839176,0.933685839176178,0.0,4.0
right,50,right,1.0,'space',0.871118605137,0.8711186051368713,0.0,12.0
central,50,right,1.0,'space',0.787586271763,0.7875862717628479,0.0,5.0
none,50,right,1.0,'space',0.785472273827,0.7854722738265991,0.0,20.0
left,200,left,1.0,'space',1.08181595802,1.0818159580230713,0.0,22.0
right,200,left,1.0,'space',1.06035625935,1.0603562593460083,0.0,3.0
central,200,left,1.0,'space',0.964889645576,0.964889645576477,0.0,16.0
none,200,left,1.0,'space',0.824272334576,0.8242723345756531,0.0,7.0
left,200,right,1.0,'space',1.07712638378,1.077126383781433,0.0,10.0
right,200,right,1.0,'space',0.975822329521,0.9758223295211792,0.0,21.0
central,200,right,1.0,,,,,1.0
none,200,right,1.0,'space',0.733509540558,0.7335095405578613,0.0,2.0
left,350,left,1.0,,,,,0.0
right,350,left,1.0,'space',1.21264564991,1.2126456499099731,0.0,18.0
central,350,left,1.0,'space',0.854549229145,0.85454922914505,0.0,14.0
none,350,left,1.0,'space',0.859826505184,0.8598265051841736,0.0,19.0
left,350,right,1.0,'space',1.29410767555,1.2941076755523682,0.0,23.0
right,350,right,1.0,'space',1.17920076847,1.1792007684707642,0.0,17.0
central,350,right,1.0,'space',0.87326169014,0.8732616901397705,0.0,6.0
none,350,right,1.0,'space',0.841924607754,0.8419246077537537,0.0,15.0

extraInfo
date,2013_XII_31_1744
frameRate,303.45863897
expName,ior
session,001
participant,Terezka
