target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
left,350,left,0,0,0,16,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,200,right,0,1,1,14,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,right,0,2,2,15,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,left,0,3,3,9,,,,,,,,,space,0.501481543045,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,50,right,0,4,4,4,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,50,right,0,5,5,6,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,350,right,0,6,6,22,,,,,,,,,space,0.501215517615,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,left,0,7,7,11,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,50,left,0,8,8,3,,,,,,,,,space,1.03984891935,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,50,left,0,9,9,0,,,,,,,,,space,1.01047982355,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,200,right,0,10,10,12,,,,,,,,,space,0.978301082959,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,50,left,0,11,11,2,,,,,,,,,space,0.837940715929,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,right,0,12,12,5,,,,,,,,,space,0.754904953004,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,left,0,13,13,1,,,,,,,,,space,0.772991260062,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,350,left,0,14,14,18,,,,,,,,,space,0.825750479461,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,350,right,0,15,15,23,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,200,left,0,16,16,10,,,,,,,,,space,0.833627947127,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,350,right,0,17,17,21,,,,,,,,,space,1.08818292548,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,350,left,0,18,18,17,,,,,,,,,space,1.0056998166,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,350,left,0,19,19,19,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,50,right,0,20,20,7,,,,,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,right,0,21,21,13,,,,,,,,,space,1.07889207986,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,200,left,0,22,22,8,,,,,,,,,space,1.10520638796,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,350,right,0,23,23,20,,,,,,,,,space,1.30994833142,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,200,left,,,,,0,0,0,10,,,,,space,1.24501046921,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,350,left,,,,,0,1,1,19,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,50,left,,,,,0,2,2,0,,,,,space,0.875349800044,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,350,right,,,,,0,3,3,23,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,50,left,,,,,0,4,4,2,,,,,space,0.884360163093,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,350,right,,,,,0,5,5,22,,,,,space,1.29188367516,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,50,right,,,,,0,6,6,6,,,,,space,1.04816436167,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,350,left,,,,,0,7,7,16,,,,,space,0.846603129727,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,right,,,,,0,8,8,5,,,,,space,0.881105629347,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,350,left,,,,,0,9,9,17,,,,,space,0.888013839748,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,200,left,,,,,0,10,10,8,,,,,space,0.847464342535,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,50,right,,,,,0,11,11,4,,,,,space,0.910597226743,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,left,,,,,0,12,12,9,,,,,space,0.877745774952,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,200,right,,,,,0,13,13,12,,,,,space,1.13934110341,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,200,right,,,,,0,14,14,13,,,,,space,1.02008795811,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,left,,,,,0,15,15,11,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,50,left,,,,,0,16,16,1,,,,,space,0.923769920479,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
left,350,right,,,,,0,17,17,20,,,,,space,1.2360822395,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
right,350,right,,,,,0,18,18,21,,,,,space,1.1722950822,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,200,right,,,,,0,19,19,15,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
central,350,left,,,,,0,20,20,18,,,,,space,0.957048661213,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
none,50,right,,,,,0,21,21,7,,,,,None,,2014_II_03_1621,306.103609575,ior,001,2014-02-03MS0,
