target_side,target_time,cue_side,n,trialKey.keys_raw,trialKey.rt_mean,trialKey.rt_raw,trialKey.rt_std,order
left,50,left,1.0,'space',1.01047980785,1.0104798078536987,0.0,9.0
right,50,left,1.0,'space',0.772991240025,0.7729912400245667,0.0,13.0
central,50,left,1.0,'space',0.837940692902,0.8379406929016113,0.0,11.0
none,50,left,1.0,'space',1.03984892368,1.0398489236831665,0.0,8.0
left,50,right,1.0,,,,,4.0
right,50,right,1.0,'space',0.754904925823,0.7549049258232117,0.0,12.0
central,50,right,1.0,,,,,5.0
none,50,right,1.0,,,,,20.0
left,200,left,1.0,'space',1.10520637035,1.1052063703536987,0.0,22.0
right,200,left,1.0,'space',0.501481533051,0.5014815330505371,0.0,3.0
central,200,left,1.0,'space',0.833627939224,0.8336279392242432,0.0,16.0
none,200,left,1.0,,,,,7.0
left,200,right,1.0,'space',0.978301107883,0.9783011078834534,0.0,10.0
right,200,right,1.0,'space',1.07889211178,1.0788921117782593,0.0,21.0
central,200,right,1.0,,,,,1.0
none,200,right,1.0,,,,,2.0
left,350,left,1.0,,,,,0.0
right,350,left,1.0,'space',1.00569987297,1.005699872970581,0.0,18.0
central,350,left,1.0,'space',0.825750470161,0.825750470161438,0.0,14.0
none,350,left,1.0,,,,,19.0
left,350,right,1.0,'space',1.30994832516,1.3099483251571655,0.0,23.0
right,350,right,1.0,'space',1.08818292618,1.0881829261779785,0.0,17.0
central,350,right,1.0,'space',0.501215517521,0.5012155175209045,0.0,6.0
none,350,right,1.0,,,,,15.0

extraInfo
date,2014_II_03_1621
frameRate,306.103609575
expName,ior
session,001
participant,2014-02-03MS0
