target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
left,350,left,0,0,0,16,,,,,,,,,space,1.26726448473,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,right,0,1,1,14,,,,,,,,,space,1.09944839358,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,right,0,2,2,15,,,,,,,,,space,0.782568734295,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,200,left,0,3,3,9,,,,,,,,,space,1.02460152058,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,right,0,4,4,4,,,,,,,,,space,0.908327385184,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,right,0,5,5,6,,,,,,,,,space,0.817728300663,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,right,0,6,6,22,,,,,,,,,space,1.24730636156,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,200,left,0,7,7,11,,,,,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,50,left,0,8,8,3,,,,,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,50,left,0,9,9,0,,,,,,,,,space,0.964369144682,2014_II_03_1726,303.819230038,ior,001,Ivan,
left,200,right,0,10,10,12,,,,,,,,,space,1.16146744908,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,50,left,0,11,11,2,,,,,,,,,space,0.885221934632,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,right,0,12,12,5,,,,,,,,,space,0.813494173142,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,50,left,0,13,13,1,,,,,,,,,space,0.849849701568,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,350,left,0,14,14,18,,,,,,,,,space,1.26131763953,2014_II_03_1726,303.819230038,ior,001,Ivan,
none,350,right,0,15,15,23,,,,,,,,,None,,2014_II_03_1726,303.819230038,ior,001,Ivan,
central,200,left,0,16,16,10,,,,,,,,,space,1.01336147471,2014_II_03_1726,303.819230038,ior,001,Ivan,
right,350,right,0,17,17,21,,,,,,,,,space,1.26959487868,2014_II_03_1726,303.819230038,ior,001,Ivan,
