target_side,target_time,cue_side,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,block0.thisRepN,block0.thisTrialN,block0.thisN,block0.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,trialKey.keys,trialKey.rt,date,frameRate,expName,session,participant,
left,350,left,0,0,0,16,,,,,,,,,space,0.959499671048,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,0,1,1,14,,,,,,,,,space,0.898679790309,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,0,2,2,15,,,,,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,0,3,3,9,,,,,,,,,space,1.3963186662,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,0,4,4,4,,,,,,,,,space,0.976249495397,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,0,5,5,6,,,,,,,,,space,0.98672987768,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,0,6,6,22,,,,,,,,,space,1.10380802588,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,0,7,7,11,,,,,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,0,8,8,3,,,,,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,0,9,9,0,,,,,,,,,space,0.882458943804,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,0,10,10,12,,,,,,,,,space,1.06922339292,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,0,11,11,2,,,,,,,,,space,0.874207755455,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,0,12,12,5,,,,,,,,,space,0.914609887569,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,0,13,13,1,,,,,,,,,space,0.977073482803,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,0,14,14,18,,,,,,,,,space,1.19818126326,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,0,15,15,23,,,,,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,0,16,16,10,,,,,,,,,space,1.01932033261,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,0,17,17,21,,,,,,,,,space,1.23634002366,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,0,18,18,17,,,,,,,,,space,1.22499703175,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,0,19,19,19,,,,,,,,,space,0.925591311186,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,0,20,20,7,,,,,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,0,21,21,13,,,,,,,,,space,1.10931927102,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,0,22,22,8,,,,,,,,,space,1.04527083749,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,0,23,23,20,,,,,,,,,space,1.22743896221,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,0,0,0,10,,,,,space,1.06154804591,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,0,1,1,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,0,2,2,0,,,,,space,0.903498559175,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,0,3,3,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,0,4,4,2,,,,,space,0.860472280695,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,0,5,5,22,,,,,space,1.18501345841,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,0,6,6,6,,,,,space,0.899953066661,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,0,7,7,16,,,,,space,1.2501725778,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,0,8,8,5,,,,,space,0.938522563622,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,0,9,9,17,,,,,space,1.23190936278,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,0,10,10,8,,,,,space,1.1066567818,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,0,11,11,4,,,,,space,0.992341833948,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,0,12,12,9,,,,,space,1.06261661747,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,0,13,13,12,,,,,space,1.08140245478,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,0,14,14,13,,,,,space,0.988097579441,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,0,15,15,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,0,16,16,1,,,,,space,0.927865552745,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,0,17,17,20,,,,,space,1.23354022648,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,0,18,18,21,,,,,space,1.32344026964,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,0,19,19,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,0,20,20,18,,,,,space,1.15020896511,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,0,21,21,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,0,22,22,14,,,,,space,0.98687570627,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,0,23,23,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,1,0,24,21,,,,,space,1.29912279354,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,1,1,25,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,1,2,26,5,,,,,space,0.971911025005,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,1,3,27,13,,,,,space,1.06145955701,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,1,4,28,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,1,5,29,12,,,,,space,1.15528921972,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,1,6,30,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,1,7,31,16,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,1,8,32,6,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,1,9,33,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,1,10,34,9,,,,,space,1.0195121866,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,1,11,35,0,,,,,space,0.952074076454,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,1,12,36,1,,,,,space,0.936599763378,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,1,13,37,17,,,,,space,1.30517139748,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,1,14,38,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,1,15,39,10,,,,,space,0.968981672252,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,1,16,40,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,1,17,41,2,,,,,space,0.940946824247,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,1,18,42,8,,,,,space,0.998391834717,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,1,19,43,14,,,,,space,0.943737123014,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,1,20,44,18,,,,,space,1.18494096317,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,1,21,45,20,,,,,space,1.1868358269,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,1,22,46,22,,,,,space,1.12797345752,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,1,23,47,4,,,,,space,0.931149559511,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,2,0,48,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,left,,,,,2,1,49,10,,,,,space,0.966751430698,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,right,,,,,2,2,50,15,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,right,,,,,2,3,51,7,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,2,4,52,5,,,,,space,1.01633412906,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,right,,,,,2,5,53,20,,,,,space,1.23092543885,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,right,,,,,2,6,54,23,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,right,,,,,2,7,55,13,,,,,space,1.00769155018,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,right,,,,,2,8,56,4,,,,,space,0.905109168903,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,right,,,,,2,9,57,22,,,,,space,1.12113962808,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,right,,,,,2,10,58,6,,,,,space,0.870785951846,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,2,11,59,8,,,,,space,0.982239502507,2014_II_04_1523,307.422007515,ior,001,Peto,
central,350,left,,,,,2,12,60,18,,,,,space,1.13571578231,2014_II_04_1523,307.422007515,ior,001,Peto,
right,200,left,,,,,2,13,61,9,,,,,space,1.08602399188,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,2,14,62,14,,,,,space,0.973162231513,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,2,15,63,12,,,,,space,1.00611844522,2014_II_04_1523,307.422007515,ior,001,Peto,
left,350,left,,,,,2,16,64,16,,,,,space,1.19127766238,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,2,17,65,1,,,,,space,0.951474628759,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,2,18,66,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,2,19,67,11,,,,,space,0.889888798716,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,right,,,,,2,20,68,21,,,,,space,1.41502621143,2014_II_04_1523,307.422007515,ior,001,Peto,
central,50,left,,,,,2,21,69,2,,,,,space,0.897248113936,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,2,22,70,17,,,,,space,1.26718842758,2014_II_04_1523,307.422007515,ior,001,Peto,
left,50,left,,,,,2,23,71,0,,,,,space,0.96201172216,2014_II_04_1523,307.422007515,ior,001,Peto,
none,50,left,,,,,3,0,72,3,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,left,,,,,3,1,73,1,,,,,space,0.911753868159,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,right,,,,,3,2,74,12,,,,,space,1.02487187617,2014_II_04_1523,307.422007515,ior,001,Peto,
left,200,left,,,,,3,3,75,8,,,,,space,1.03458882344,2014_II_04_1523,307.422007515,ior,001,Peto,
right,50,right,,,,,3,4,76,5,,,,,space,0.90198377168,2014_II_04_1523,307.422007515,ior,001,Peto,
right,350,left,,,,,3,5,77,17,,,,,space,1.18876561127,2014_II_04_1523,307.422007515,ior,001,Peto,
none,350,left,,,,,3,6,78,19,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
central,200,right,,,,,3,7,79,14,,,,,space,0.948697529993,2014_II_04_1523,307.422007515,ior,001,Peto,
none,200,left,,,,,3,8,80,11,,,,,None,,2014_II_04_1523,307.422007515,ior,001,Peto,
