target_side,target_time,cue_side,n,trialKey.keys_raw,trialKey.rt_mean,trialKey.rt_raw,trialKey.rt_std,order
left,50,left,1.0,'space',0.911420702934,0.9114207029342651,0.0,9.0
right,50,left,1.0,'space',0.975186169147,0.9751861691474915,0.0,13.0
central,50,left,1.0,'space',0.864172399044,0.8641723990440369,0.0,11.0
none,50,left,1.0,,,,,8.0
left,50,right,1.0,'space',0.945656239986,0.9456562399864197,0.0,4.0
right,50,right,1.0,'space',0.908882021904,0.9088820219039917,0.0,12.0
central,50,right,1.0,'space',0.945430397987,0.9454303979873657,0.0,5.0
none,50,right,1.0,,,,,20.0
left,200,left,1.0,'space',1.00965487957,1.0096548795700073,0.0,22.0
right,200,left,1.0,'space',1.03850197792,1.0385019779205322,0.0,3.0
central,200,left,1.0,'space',0.975554585457,0.9755545854568481,0.0,16.0
none,200,left,1.0,,,,,7.0
left,200,right,1.0,'space',0.980518877506,0.9805188775062561,0.0,10.0
right,200,right,1.0,'space',0.986678540707,0.9866785407066345,0.0,21.0
central,200,right,1.0,'space',0.900828659534,0.9008286595344543,0.0,1.0
none,200,right,1.0,,,,,2.0
left,350,left,1.0,'space',1.12313973904,1.12313973903656,0.0,0.0
right,350,left,1.0,'space',1.11279284954,1.1127928495407104,0.0,18.0
central,350,left,1.0,'space',1.11159217358,1.111592173576355,0.0,14.0
none,350,left,1.0,,,,,19.0
left,350,right,1.0,'space',1.16373634338,1.163736343383789,0.0,23.0
right,350,right,1.0,'space',1.16124081612,1.161240816116333,0.0,17.0
central,350,right,1.0,'space',1.17796432972,1.1779643297195435,0.0,6.0
none,350,right,1.0,,,,,15.0

extraInfo
date,2013_XII_31_1536
frameRate,297.840589274
expName,ior
session,001
participant,Filip
